Reference, Value, Footprint, Datasheet, Farnell Part Number, Manufacturer_Part_Number, Mouser Part Number, Allied_Number, Description, Height, Manufacturer_Name, RS Part Number, RS Price/Stock, Mouser Price/Stock, Arrow Part Number, Arrow Price/Stock
"U1","XIAO_BLE","XIAO:Seeeduino_XIAO-MOUDLE14P-2.54-21X17.8MM","","4060352 ","102010469","4060352 ","","","","","","","","",""
"LS1","Speaker","KiCad_imports:SPKR_AST1240MLTRQ","~","","AST1240MLTRQ","","","","","","","","","",""
"U2","RM3100_Breakout","XIAO:RM3100_Breakout",""
"R2","2k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","9342788","MF12 2K ","","","","","","","","","",""
"R3","2k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","9342788","MF12 2K ","","","","","","","","","",""
"J1","22-03-5035","Connector_Molex:Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical","http://uk.rs-online.com/web/p/products/6878048P","","22-03-5035","","70248167","Header 2.5mm SPOX,WTB,vert, shrouded, 3w Molex SPOX Series, Series Number 5267, 2.5mm Pitch 3 Way 1 Row Straight PCB Header, Solder Termination, 3A","5.9","Molex","6878048P","http://uk.rs-online.com/web/p/products/6878048P","","",""
"J2","53047-0510","Connector_Molex:Molex_PicoBlade_53047-0510_1x05_P1.25mm_Vertical","http://uk.rs-online.com/web/p/products/4476596P","","53047-0510","","70266929","Headers & Wire Housings VERTICAL HDR 5P","4.4","Molex","4476596P","http://uk.rs-online.com/web/p/products/4476596P","","",""
"J3","53047-0310","Connector_Molex:Molex_PicoBlade_53047-0310_1x03_P1.25mm_Vertical","http://uk.rs-online.com/web/p/products/3191064P","","53047-0310","","70266925","Headers & Wire Housings VERTICAL HDR 3P","4.4","Molex","3191064P","http://uk.rs-online.com/web/p/products/3191064P","","",""
"U3","OLED1_3_GND1","KiCad_imports:OLED1_3",""
"C3","4.7uF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","3618969","FG14X5R1H475KRT06","","","","","","","","","",""
"C2","1.0uF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","3416643","FG18X7R1E105KRT06","","","","","","","","","",""
"CHARGER1","XC6802A42XMR-G","Package_TO_SOT_SMD:SOT-89-5_Handsoldering","https://www.torexsemi.com/file/xc6802/XC6802.pdf","3535545","XC6802A42XMR-G","865-XC6802A42XMR-G","","TOREX - XC6802A42XMR-G - IC, BATTERY CHARGER, LI-ION, SOT-25","1.3","Torex","","","https://www.mouser.co.uk/ProductDetail/Torex-Semiconductor/XC6802A42XMR-G?qs=AsjdqWjXhJ99%252BcS5YGfUeQ%3D%3D","",""
"R1","2k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","9342788","MF12 2K ","","","","","","","","","",""
"REG1","AP7361C-33Y5-13","Package_TO_SOT_SMD:SOT-89-5_Handsoldering","https://www.diodes.com/assets/Datasheets/AP7361C.pdf","3482981","AP7361C-33Y5-13","621-AP7361C-33Y5-13","","DIODES INC. - AP7361C-33Y5-13 - LDO, FIXED, 3.3V, 1A, -40 TO 85DEG C","","Diodes Inc.","","","https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/AP7361C-33Y5-13?qs=xisxFN06iGfHzLSxgFys7Q%3D%3D","AP7361C-33Y5-13","https://www.arrow.com/en/products/ap7361c-33y5-13/diodes-incorporated?region=nac"
"C1","1.0uF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","3416643","FG18X7R1E105KRT06","","","","","","","","","",""
